address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018,total_turnover,annual_turnover,max_units,change_index,multi_units,LATITUDE,LONGITUDE,AREA_NAME,Esta.
1170 SHEPPARD AVE W,1,0,1,1,0,0,0,1,1,0,1,0,0,3,0.5,1,0.5,0,43.75549,-79.47156,York University Heights (27),"Apricot Catering (2014), Quiznos (2012)"
1181 FINCH AVE W,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.76437,-79.48241999999999,York University Heights (27),Small Rooms Restaurant (2012)
12 KODIAK CRES,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.75327,-79.46642,York University Heights (27),Imperial Coffee And Service Inc. (2012)
1225 FINCH AVE W,1,0,1,1,1,1,1,1,1,0,0,0,0,2,0.33333,1,0.33333,0,43.76413,-79.48499,York University Heights (27),"Party City (2014), Party Packagers (2012)"
1230 SHEPPARD AVE W,2,2,2,2,1,0,1,0,0,0,1,1,1,3,0.5,2,0.25,0,43.75488,-79.47957,York University Heights (27),"Ruminos Sports Cafe (2012), Svg Bar And Grill (2012), Topaz Catering And Event Center (2018)"
1235 FINCH AVE W,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0.33333,1,0.33333,0,43.763870000000004,-79.4859,York University Heights (27),Tpp Supermarket (2017)
1270 FINCH AVE W,0,0,0,0,1,1,1,0,0,0,1,2,0,3,0.5,1,0.5,0,43.76522,-79.48827,York University Heights (27),"Crystal Cafe Inc (2016), Lagos Lounge Bar And Grill (2017)"
1280 FINCH AVE W,2,2,2,2,2,2,1,0,0,0,0,0,1,1,0.16667,2,0.08333,0,43.76426,-79.48854,York University Heights (27),"My Variety (2012), Tim Hortons (2012)"
1285 FINCH AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.763709999999996,-79.48852,York University Heights (27),Fox And Fiddle (2012)
1290 FINCH AVE W,3,3,3,1,3,2,1,2,2,2,2,1,1,10,1.66667,3,0.55556,1,43.76533,-79.48953,York University Heights (27),"Coco Karaoke Restaurant (2012), Js Bar And Restaurant (2016), King Star Restaurant (2016), Red Nile Cafe (2013), Royal Delight Restaurant And Lounge (2012), Thirupathi Convenience (2014), York Convenience (2012)"
130 LE PAGE CRT,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.76051,-79.48095,York University Heights (27),Chapmans Catering (2012)
1300 FINCH AVE W,7,9,8,8,10,8,10,4,3,2,2,2,2,15,2.5,10,0.25,1,43.76485,-79.48988,York University Heights (27),"Amj Convenience (2012), Caribbean Heat Family Restaurant (2013), Daisy Mart (2012), Falafel And Grill Express (2014), Falafel Express (2012), Mas Bar And Lounge (2018), Okla Karaoke Bar And Rest. (2013), Panchitas Kitchen And Bakery (2018), Pho Lien Hung (2013), Pizza Pizza (2015), Quisqueya La Bella (2016), Reginos Pizza (2012), Subway (2012), Sunrise Caribbean Restaurant (2016), Top One Lounge (2012), Yunan Kitchen Delights (2012)"
1315 FINCH AVE W,2,1,1,1,1,0,1,1,0,0,0,1,1,3,0.5,2,0.25,0,43.763529999999996,-79.48923,York University Heights (27),"118 Cafe (2018), Main Drug Mart (2012), Sallys Place (2012)"
1325 FINCH AVE W,1,1,1,1,1,0,0,0,0,2,0,1,0,3,0.5,1,0.5,0,43.76336,-79.49004000000001,York University Heights (27),"Aji Sushi Asian Restaurant (2015), Oishi (2012)"
14 ASHWARREN RD,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.75877,-79.48033000000001,York University Heights (27),Bagelos   Tastefully Yours Bakers (2012)
141 DOLOMITE DR,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.78006,-79.47251,York University Heights (27),Byford Dairy Products Ltd (2012)
142 MARTIN ROSS AVE,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0.33333,1,0.33333,0,43.77315,-79.47986,York University Heights (27),Sullivan And Bleeker (2017)
1420 SHEPPARD AVE W,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.74484,-79.48743,York University Heights (27),Dairy Queen (2013)
1450 LODESTAR RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.76113,-79.46869000000001,York University Heights (27),Second Harvest (2012)
1450 WHITEHORSE RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.757870000000004,-79.47176,York University Heights (27),Old Fashioned Bagel Factory (2012)
1493 FINCH AVE W,0,2,2,2,2,2,2,2,0,0,0,0,0,2,0.33333,2,0.16667,0,43.76086,-79.49932,York University Heights (27),"Petro Canada (2013), Tim Hortons (2013)"
150 RIMROCK RD,1,1,1,1,1,1,2,0,0,0,0,0,1,1,0.16667,2,0.08333,0,43.75802,-79.4654,York University Heights (27),"Mcdonalds (2012), Tacorrito Hurry Curry (2018)"
1625 FLINT RD,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0.33333,1,0.33333,0,43.77994,-79.48066,York University Heights (27),Empire Bakery (2017)
170 RIMROCK RD,1,1,1,2,2,2,2,0,0,1,0,0,0,1,0.16667,2,0.08333,0,43.75862,-79.46625999999999,York University Heights (27),"Anoush Middle Eastern Cuisine (2015), Starbucks Coffee Co (2012)"
18 LE PAGE CRT,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.75885,-79.48775,York University Heights (27),Branded Bites (2017)
180 RIMROCK RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.757909999999995,-79.46595,York University Heights (27),Boston Pizza (2012)
199 RIMROCK RD,1,0,1,1,0,0,0,1,1,0,1,0,0,3,0.5,1,0.5,0,43.75652,-79.46563,York University Heights (27),Rimrock Cafe (2012)
2 CHAMPAGNE DR,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.76643,-79.47234,York University Heights (27),Suq Mediterranean Kitchen (2017)
2011 STEELES AVE W,1,2,1,1,1,1,2,1,1,0,0,0,1,3,0.5,2,0.25,0,43.78658,-79.47174,York University Heights (27),"Montanas #3011 (2013), Montanas Cookhouse (2012), Snowbowl (2018)"
2061 STEELES AVE W,3,3,3,4,4,3,3,0,0,1,0,1,0,2,0.33333,4,0.08333,1,43.78632,-79.47304,York University Heights (27),"Bombay Roti (2015), Extreme Pita (2012), Teriyaki Experience (2012), Thai Express (2012)"
2071 STEELES AVE W,3,2,2,3,3,3,2,1,0,1,0,0,1,3,0.5,3,0.16667,1,43.78621,-79.47346,York University Heights (27),"Steeles West Convenience (2012), Subway Sandwiches And Salads (2012), Wild Wing (2012)"
2081 STEELES AVE W,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0.0,2,0.0,0,43.78611,-79.474,York University Heights (27),"Booster Juice (2012), Starbucks Coffee Co (2012)"
2151 STEELES AVE W,1,0,1,1,1,1,1,1,1,0,0,0,0,2,0.33333,1,0.33333,0,43.78581,-79.47532,York University Heights (27),Wendys (2012)
2171 STEELES AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.78566,-79.47594000000001,York University Heights (27),East Side Marios (2012)
218 CANARCTIC DR,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.7762,-79.49041,York University Heights (27),Sweets From The Earth (2014)
2215 STEELES AVE W,3,4,3,3,4,4,4,3,1,0,1,4,0,9,1.5,4,0.375,1,43.78539,-79.47676,York University Heights (27),"Barrio Fiesta (2013), Best Grill (2012), Freshii (2017), Osmows Grill (2016), Pho Mono Vietnamese Cuisine (2017), Quiznos (2012), South St. Burger Co. (2012), The Golden Burrito (2013)"
2375 STEELES AVE W,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.78433,-79.47958,York University Heights (27),Home Diners Express (2012)
24 MARTIN ROSS AVE,1,1,1,1,1,1,2,0,0,0,0,2,3,5,0.8333299999999999,2,0.41667,0,43.775240000000004,-79.47105,York University Heights (27),"Dream Flavor Inc (2018), Josephs Food And Cakes (2017), Josephs Foods And Cakes (2012), P And G Canadian Cheesecake Factory (2018)"
2501 STEELES AVE W,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.7837,-79.48258,York University Heights (27),L And M Bakers Supply Co. (2012)
2645 STEELES AVE W,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.782740000000004,-79.48665,York University Heights (27),Husky (2018)
2727 STEELES AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.78237,-79.48933000000001,York University Heights (27),Caspi Restaurant (2012)
2777 STEELES AVE W,4,5,4,4,3,4,5,1,1,2,1,1,1,7,1.16667,5,0.23333,1,43.7817,-79.49056999999999,York University Heights (27),"Big Als Diner (2013), Bon A Pita Shawarma And Grill (2012), Dormet Shawarma (2015), Great Convenience Store (2012), International Delicatessen Food (2012), La Risata Restaurant (2012), Sunnyside Grill (2017), Time2Time (2018)"
2899 STEELES AVE W,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0.0,2,0.0,0,43.781420000000004,-79.49169,York University Heights (27),"Genji Sushi (2012), Sandras Italian Kitchen (2012)"
2901 STEELES AVE W,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.781079999999996,-79.49280999999999,York University Heights (27),Imperator (2012)
312 DOLOMITE DR,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.78032,-79.47529,York University Heights (27),Dougheads Pastry Bakery (2012)
315 FLINT RD,1,0,1,1,1,1,1,1,1,0,0,0,0,2,0.33333,1,0.33333,0,43.77134,-79.47986999999999,York University Heights (27),"Baketree (2014), Signature Bakery (2012)"
3330 KEELE ST,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0.33333,1,0.33333,0,43.74515,-79.48685,York University Heights (27),Shell (2017)
3354 KEELE ST,0,1,1,0,0,0,0,1,2,1,0,0,0,4,0.66667,1,0.66667,0,43.74605,-79.48709000000001,York University Heights (27),"Norra Shawarma (2013), Torontos Top Shawarma (2014)"
3358 KEELE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.74605,-79.48709000000001,York University Heights (27),Pizza Pizza (2013)
3364 KEELE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.74605,-79.48709000000001,York University Heights (27),Bobs Variety (2013)
3366 KEELE ST,1,1,1,1,1,1,1,0,2,0,0,0,0,2,0.33333,1,0.33333,0,43.74605,-79.48709000000001,York University Heights (27),"Mang Tomas Lechon (2014), Son Lechan Bbq Restaurant (2012)"
3370 KEELE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.74605,-79.48709000000001,York University Heights (27),Pho Huong Trang (2012)
3372 KEELE ST,1,2,2,2,1,1,1,1,0,0,1,0,0,2,0.33333,2,0.16667,0,43.7465,-79.48727,York University Heights (27),"Country Style Donuts (2013), Long Fa Supermarket (2012)"
345 FLINT RD,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.77142,-79.47915,York University Heights (27),Itfc (2012)
3472 KEELE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.75253,-79.48865,York University Heights (27),Food Galore Grocery (2013)
