address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018,total_turnover,annual_turnover,max_units,change_index,multi_units,LATITUDE,LONGITUDE,AREA_NAME,Esta.
100 BLOOR ST E,1,1,2,2,2,2,2,0,1,0,0,0,0,1,0.16667,2,0.08333,0,43.67096,-79.38459,Rosedale-Moore Park (98),"Longos (2014), The Market By Longos (2012)"
1055 YONGE ST,2,1,3,3,3,2,2,1,2,0,0,1,0,4,0.66667,3,0.22221999999999997,1,43.678509999999996,-79.38978,Rosedale-Moore Park (98),"Earth (2012), Freshii (2014), Quail And Firkin (2012), White Squirrel Coffee Shop (2014)"
1075 YONGE ST,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.33333,1,0.33333,0,43.6791,-79.39010999999999,Rosedale-Moore Park (98),Rosedale General Store (2013)
1077 YONGE ST,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.33333,1,0.33333,0,43.67946,-79.39018,Rosedale-Moore Park (98),Shell Gas Station (2013)
1095 YONGE ST,1,1,1,2,2,2,2,0,0,1,0,0,0,1,0.16667,2,0.08333,0,43.68,-79.39054,Rosedale-Moore Park (98),"Bar Centrale By Terroni (2012), Terroni (2015)"
1097 YONGE ST,1,2,2,2,2,2,2,1,0,0,0,0,0,1,0.16667,2,0.08333,0,43.680040000000005,-79.39056,Rosedale-Moore Park (98),"Olliffe (2012), Pisces Gourmet (2013)"
1099 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.68011,-79.39062,Rosedale-Moore Park (98),Nadege (2012)
11 PLEASANT BLVD,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.687090000000005,-79.39295,Rosedale-Moore Park (98),Macs (2012)
11 ST CLAIR AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.687940000000005,-79.39303000000001,Rosedale-Moore Park (98),Mcdonalds (2012)
1101 YONGE ST,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.68016,-79.39054,Rosedale-Moore Park (98),All The Best Fine Foods (2012)
1103 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.680209999999995,-79.3906,Rosedale-Moore Park (98),The Harvest Wagon (2012)
1177 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.68262,-79.39152,Rosedale-Moore Park (98),Luni Tuni (2012)
12 ST CLAIR AVE E,2,4,3,3,3,0,3,2,1,0,2,3,3,11,1.83333,4,0.45833,1,43.68851,-79.3932,Rosedale-Moore Park (98),"Booster Juice (2018), Charity Juice (2012), Loblaws (2012), St Clair News And Lottery (2016), St. Clair News And Lottery (2013), T And T Sushi Bar (2018), The Bowl Korean Food (2013)"
120 BLOOR ST E,3,3,3,3,2,3,3,0,0,0,1,1,0,2,0.33333,3,0.11110999999999999,1,43.67131,-79.38387,Rosedale-Moore Park (98),"Gateway Newstands (2012), Ichiriki Japanese  Restaurant (2012), Picnic Food (2017), Sunset Grill (2012)"
1251 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.68417,-79.39211999999999,Rosedale-Moore Park (98),Brownes Bistro (2012)
1252 YONGE ST,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.68322,-79.39208,Rosedale-Moore Park (98),Room 2046 (2012)
1303 YONGE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.68466,-79.39232,Rosedale-Moore Park (98),Outtakes (2013)
1365 YONGE ST,1,2,1,1,1,1,1,1,1,0,0,0,0,2,0.33333,2,0.16667,0,43.68653,-79.3931,Rosedale-Moore Park (98),"Rosehill Venue (2013), Town Convenience And Cyber Space (2012)"
1375 YONGE ST,1,2,2,2,1,2,1,1,0,0,1,1,1,4,0.66667,2,0.33333,0,43.68678,-79.39324,Rosedale-Moore Park (98),"Sushi Kyu Japanese Restaurant (2013), The Health Shoppe (2012), Yonge Fresh Market (2017)"
1397 YONGE ST,0,0,0,1,1,0,1,0,0,1,0,1,1,3,0.5,1,0.5,0,43.68708,-79.39346,Rosedale-Moore Park (98),Hero Certified Burgers (2015)
1407 YONGE ST,1,0,1,1,1,1,1,1,1,0,0,0,0,2,0.33333,1,0.33333,0,43.68732,-79.3934,Rosedale-Moore Park (98),"Aroma Espresso Bar (2014), Timothys World Coffee (2012)"
1415 YONGE ST,1,1,0,1,1,1,1,0,1,1,0,0,0,2,0.33333,1,0.33333,0,43.687470000000005,-79.39343000000001,Rosedale-Moore Park (98),"Chef Of India (2012), Schnitzel Hub (2015)"
1423 YONGE ST,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.68762,-79.3935,Rosedale-Moore Park (98),The Artisan Baker (2012)
1427 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.687709999999996,-79.3935,Rosedale-Moore Park (98),Jester On Yonge Pub And Grill (2012)
1429 YONGE ST,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0.16667,1,0.16667,0,43.68772,-79.39372,Rosedale-Moore Park (98),Supreme Discount (2012)
1431 YONGE ST,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0.33333,1,0.33333,0,43.68778,-79.39374000000001,Rosedale-Moore Park (98),Carls Jr. (2015)
1441 YONGE ST,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.68803,-79.39407,Rosedale-Moore Park (98),Gateway Newstands (2012)
1481 YONGE ST,0,1,1,1,1,0,0,1,0,0,0,1,0,2,0.33333,1,0.33333,0,43.68877,-79.39413,Rosedale-Moore Park (98),Pharma Plus Drugmart (2013)
1495 YONGE ST,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0.33333,1,0.33333,0,43.68906,-79.3942,Rosedale-Moore Park (98),Starbucks (2013)
1507 YONGE ST,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.68939,-79.39433000000001,Rosedale-Moore Park (98),Shoppers Drug Mart (2012)
1521 YONGE ST,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0.0,4,0.0,1,43.68963,-79.39443,Rosedale-Moore Park (98),"Harveys (2012), Mr Thai (2012), Pizza Pizza (2012), Tim Hortons (2012)"
1535 YONGE ST,1,1,1,1,1,1,1,0,0,0,2,0,0,2,0.33333,1,0.33333,0,43.68994,-79.39459000000001,Rosedale-Moore Park (98),"Fox And Fiddle (2012), Midtown Gastro Hub (2016)"
1585 YONGE ST,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.69052,-79.39423000000001,Rosedale-Moore Park (98),Yorkminster Park Meals On Wheels (2012)
160 BLOOR ST E,1,2,2,2,1,0,1,1,2,0,1,1,1,6,1.0,2,0.5,0,43.67163,-79.38305,Rosedale-Moore Park (98),"International News #5523 (2014), La Prep (2012), The Tobacco Shop (2013)"
2 BLOOR ST E,8,8,7,9,12,13,10,0,1,2,3,3,5,14,2.33333,13,0.17949,1,43.67073,-79.38555,Rosedale-Moore Park (98),"Davids Tea (2016), Dollarama (2018), Extreme Pita (2012), Fit For Life (2016), Gateway Newstands (2012), Green Press (2017), Ins Market  (International News) (2017), International News (2012), Jack Astors (2012), La Prep (2016), Salad Days (2015), Starbucks (2012), Subway (2012), Tandoori (2012), Thai Express (2012), Tim Hortons (2015)"
2 CRESCENT RD,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.33333,1,0.33333,0,43.67722,-79.38944000000001,Rosedale-Moore Park (98),Paris Grocery (2013)
2 ST CLAIR AVE E,1,3,1,0,0,4,3,2,2,1,0,4,1,10,1.66667,4,0.41667,1,43.68837,-79.39385,Rosedale-Moore Park (98),"Greenhouse (2017), Ins Market (2017), International News (2013), Rexall Pharma Plus (2017), Second Cup (2012), Starbucks (2017), Whole Health (2013)"
20 BLOOR ST E,6,6,6,5,5,5,5,0,0,1,2,0,0,3,0.5,6,0.08333,1,43.670759999999994,-79.38544,Rosedale-Moore Park (98),"A And W Express/Country Style (2012), Gateway Newstands (2012), Manchu Wok (2012), Purdys Chocolatier (2016), Shoppers Drug Mart (2012), The Grind (2012), Treats (2012)"
21 ST CLAIR AVE E,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.33333,1,0.33333,0,43.68809,-79.39281,Rosedale-Moore Park (98),Country Style And Thai Express (2013)
22 ST CLAIR AVE E,1,1,1,1,1,0,1,0,2,0,0,1,1,4,0.66667,1,0.66667,0,43.68853,-79.39301,Rosedale-Moore Park (98),"La Barista Cafe (2014), Timothys World Coffee (2012)"
250 BLOOR ST E,0,1,1,1,1,1,0,1,2,0,0,0,1,4,0.66667,1,0.66667,0,43.67203,-79.38093,Rosedale-Moore Park (98),"Bloor Gift And Tobacco (2014), Bloor Gift Shop And Tobacco (2013)"
350 BLOOR ST E,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.672309999999996,-79.37876999999999,Rosedale-Moore Park (98),Rogers Cafeteria (2012)
360 BLOOR ST E,0,1,1,1,1,0,0,1,0,0,0,1,0,2,0.33333,1,0.33333,0,43.67249,-79.37813,Rosedale-Moore Park (98),Taco Del Mar (2013)
366 BLOOR ST E,0,1,2,2,2,2,3,1,1,0,0,0,1,3,0.5,3,0.16667,1,43.67237,-79.3779,Rosedale-Moore Park (98),"Fat Bastard Burrito (2018), Pie Squared Restaurants (2014), Subway (2013)"
4 COLLIER ST,1,1,1,1,2,1,1,0,0,0,1,1,0,2,0.33333,2,0.16667,0,43.67233,-79.38733,Rosedale-Moore Park (98),"Kiro Sushi (2016), Star Anise (2012)"
4 CRESCENT RD,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.67714,-79.38936,Rosedale-Moore Park (98),Black Camel (2012)
40 ASQUITH AVE,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0.0,2,0.0,0,43.67191,-79.3852,Rosedale-Moore Park (98),"Pizza Hut (2012), Rabba (2012)"
408 SUMMERHILL AVE,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.68613,-79.37656,Rosedale-Moore Park (98),Rosedales Finest (2017)
412 SUMMERHILL AVE,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.68613,-79.37640999999999,Rosedale-Moore Park (98),Marshalls Drug Store (2012)
420 SUMMERHILL AVE,1,1,0,0,0,1,0,0,1,0,0,1,1,3,0.5,1,0.5,0,43.68618,-79.37617,Rosedale-Moore Park (98),"Dolce Moda (2017), Petite And Sweet (2012)"
428 SUMMERHILL AVE,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.68622,-79.37601,Rosedale-Moore Park (98),Scoops On Summerhill (2012)
44 BLOOR ST E,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.67078,-79.38532,Rosedale-Moore Park (98),Cafe Bon Appetit (2012)
44 JACKES AVE,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.685790000000004,-79.39118,Rosedale-Moore Park (98),Bretton Place Tuck Shop (2012)
44 PRICE ST,0,0,0,0,0,2,2,0,0,0,0,2,0,2,0.33333,2,0.16667,0,43.68055,-79.38875,Rosedale-Moore Park (98),"Bistro 44 (2017), Courtside Cafe (2017)"
44 ST CLAIR AVE E,0,1,1,2,1,1,1,1,0,1,1,2,0,5,0.8333299999999999,2,0.41667,0,43.6888,-79.39211,Rosedale-Moore Park (98),"Mermaid Fish And Grill House (2017), Sunnys Breakfast And Lunch (2015), Sunshine Spot Restaurant (2013)"
446 SUMMERHILL AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6864,-79.37552,Rosedale-Moore Park (98),Summerhill Supermarket (2012)
46 ST CLAIR AVE E,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.688759999999995,-79.39201,Rosedale-Moore Park (98),9 Bars (2013)
48 ST CLAIR AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.68875,-79.39193,Rosedale-Moore Park (98),Suki Japanese Restaurant (2012)
5 ROSEHILL AVE,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.68614,-79.39289000000001,Rosedale-Moore Park (98),Starbucks (2012)
60 ST CLAIR AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.689,-79.39134,Rosedale-Moore Park (98),Subway (2012)
600 BLOOR ST E,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.33333,1,0.33333,0,43.67324,-79.36945,Rosedale-Moore Park (98),Gateway News Stand (2013)
7 JACKES AVE,1,1,0,1,1,1,0,0,1,1,0,0,1,3,0.5,1,0.5,0,43.68468,-79.39165,Rosedale-Moore Park (98),"B And B Tuck Shop (2012), Jacks Convenience (2015)"
765 YONGE ST,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.67105,-79.38677,Rosedale-Moore Park (98),Starbucks Coffee Co (2012)
769 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.671170000000004,-79.38688,Rosedale-Moore Park (98),Tim Hortons (2012)
789 YONGE ST,0,2,2,2,2,2,1,2,0,0,0,0,1,3,0.5,2,0.25,0,43.671890000000005,-79.38667,Rosedale-Moore Park (98),"Balzacs Coffee (2013), Bram And Bluma Appel (2013)"
80 WOODLAWN AVE E,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.68479,-79.38971,Rosedale-Moore Park (98),Y.W.C.A. (2012)
807 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.67228,-79.38734000000001,Rosedale-Moore Park (98),Mamms Pizza (2012)
81 ST CLAIR AVE E,3,4,4,4,4,4,2,1,0,0,0,0,2,3,0.5,4,0.125,1,43.68867,-79.39036,Rosedale-Moore Park (98),"Dollar Prince (2012), New Thai Restaurant (2012), Save Enterprises (2012), Sobeys (2013)"
813 YONGE ST,1,1,1,1,1,0,1,0,0,0,0,1,1,2,0.33333,1,0.33333,0,43.67241,-79.3873,Rosedale-Moore Park (98),"Aji Sai Sushi Japanese Restaurant (2012), Lee Chen Asian Bistro (2018)"
817 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.67249,-79.38747,Rosedale-Moore Park (98),Shoppers Drug Mart (2012)
820 CHURCH ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.67208,-79.38582,Rosedale-Moore Park (98),King Palace (2012)
835 YONGE ST,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.33333,1,0.33333,0,43.673140000000004,-79.38756,Rosedale-Moore Park (98),Canadian Tire Gas Bar (2013)
839 YONGE ST,0,0,1,1,1,0,0,0,1,0,0,1,0,2,0.33333,1,0.33333,0,43.67371,-79.38761,Rosedale-Moore Park (98),Omaca Food (2014)
881 YONGE ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.67437,-79.38803,Rosedale-Moore Park (98),Mykonos Mediterranean Grill (2012)
895 YONGE ST,1,1,1,1,1,0,1,0,2,0,0,1,1,4,0.66667,1,0.66667,0,43.67472,-79.38823000000001,Rosedale-Moore Park (98),"Pho Blooming Rose (2018), Sawasdee Thai Cuisine (2014), The One Restaurant (2012)"
90 BLOOR ST E,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0.0,2,0.0,0,43.67088,-79.38486999999999,Rosedale-Moore Park (98),"Matisse (2012), Toronto Marriott Bloor Yorkville (2012)"
901 YONGE ST,1,1,1,1,1,0,0,0,2,0,0,1,0,3,0.5,1,0.5,0,43.67478,-79.38825,Rosedale-Moore Park (98),"Loaf And Ladle (2012), Ready Freddys (2014)"
931 YONGE ST,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.67552,-79.38855,Rosedale-Moore Park (98),Spring Cafe Bistro (2013)
130 ATLAS AVE,0,1,1,1,1,1,1,1,0,0,2,2,0,5,0.8333299999999999,1,0.8333299999999999,0,43.68505,-79.43276999999999,Oakwood Village (107),"Atlas Grocery (2013), Jenny Atlas Grocery (2016)"
132 ATLAS AVE,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0.33333,1,0.33333,0,43.685340000000004,-79.43278000000001,Oakwood Village (107),Incredible Spice (2013)
1445 EGLINTON AVE W,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.6981,-79.43771,Oakwood Village (107),Beth Sholom Kosher Food Bank (2014)
1471 EGLINTON AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.69788,-79.43914000000001,Oakwood Village (107),Coffee Time Donuts (2012)
1477 EGLINTON AVE W,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0.16667,1,0.16667,0,43.6978,-79.43942,Oakwood Village (107),Kings Variety (2016)
1481 EGLINTON AVE W,1,1,1,1,1,1,1,0,0,2,0,0,2,4,0.66667,1,0.66667,0,43.697790000000005,-79.43961999999999,Oakwood Village (107),"Jers (2018), Mamja Filipino Convenience Store (2012), Rl Cardenderia (2015)"
1493 EGLINTON AVE W,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.697720000000004,-79.44,Oakwood Village (107),Kings Variety (2012)
1539 EGLINTON AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.69746,-79.44098000000001,Oakwood Village (107),Spences Bakery (2012)
1541 EGLINTON AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.69746,-79.44104,Oakwood Village (107),Raps (2012)
1545 EGLINTON AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6974,-79.44138000000001,Oakwood Village (107),Hot Pot Restaurant (2012)
1555 EGLINTON AVE W,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0.16667,1,0.16667,0,43.697309999999995,-79.44174,Oakwood Village (107),All Season Food Market (2016)
1559 EGLINTON AVE W,1,1,0,1,1,1,1,0,1,1,0,0,0,2,0.33333,1,0.33333,0,43.69725,-79.44194,Oakwood Village (107),"B And B Restaurant (2012), The Entertainment Kitchen (2015)"
1561 EGLINTON AVE W,0,1,1,1,1,1,1,1,0,0,0,2,0,3,0.5,1,0.5,0,43.69725,-79.44207,Oakwood Village (107),"Mainsha (2013), The Entertainment Kitchen (2017)"
1569 EGLINTON AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.697179999999996,-79.44239,Oakwood Village (107),Randys Take Out (2012)
1601 EGLINTON AVE W,1,1,1,1,1,0,1,0,0,0,0,1,1,2,0.33333,1,0.33333,0,43.69709,-79.44285,Oakwood Village (107),Pizza Pizza (2012)
1611 EGLINTON AVE W,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.69693,-79.4437,Oakwood Village (107),Popeyes Chicken And Biscuits (2012)
1647 EGLINTON AVE W,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.69672,-79.44456,Oakwood Village (107),Blue Bar And Grill Restaurant (2012)
1653 EGLINTON AVE W,1,1,1,0,1,1,1,0,0,1,1,0,0,2,0.33333,1,0.33333,0,43.696659999999994,-79.44478000000001,Oakwood Village (107),"Castries Bar And Fiveway Restaurant (2012), Sankofa Restaurant And Bar (2016)"
1661 EGLINTON AVE W,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.69665,-79.44508,Oakwood Village (107),Wing Machine (2013)
1735 EGLINTON AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.6962,-79.44694,Oakwood Village (107),Janes Bar And Grill (2012)
1741 EGLINTON AVE W,1,1,1,1,1,0,0,0,0,2,0,1,0,3,0.5,1,0.5,0,43.69624,-79.44704,Oakwood Village (107),"High Life Restaurant (2015), Pho Bolsa Restaurant (2012)"
1763 EGLINTON AVE W,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.69583,-79.4487,Oakwood Village (107),Subway (2015)
1769 EGLINTON AVE W,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.69582,-79.44874,Oakwood Village (107),Parkway Fruit Vegetable (2012)
1801 EGLINTON AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.69577,-79.44901999999999,Oakwood Village (107),Tim Hortons (2012)
1807 EGLINTON AVE W,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.69574,-79.44921,Oakwood Village (107),Mcdonalds (2013)
1815 EGLINTON AVE W,1,0,1,0,0,0,0,1,1,1,0,0,0,3,0.5,1,0.5,0,43.69567,-79.44962,Oakwood Village (107),"On The Run   Esso (2014), Subway Sandwiches (2012)"
2005 DUFFERIN ST,0,0,1,1,1,1,0,0,1,0,0,0,1,2,0.33333,1,0.33333,0,43.685520000000004,-79.44582,Oakwood Village (107),Vege Fruit Mart (2014)
2057 DUFFERIN ST,0,1,1,1,1,1,1,1,0,2,0,2,0,5,0.8333299999999999,1,0.8333299999999999,0,43.68683,-79.44636,Oakwood Village (107),"Diamonds Bar And Grill (2017), Maria Bela Grilland Bar (2015), Nova Onda (2013)"
2075 DUFFERIN ST,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.68727,-79.44651999999999,Oakwood Village (107),Restaurante Minhoto (2012)
2079 DUFFERIN ST,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0.33333,1,0.33333,0,43.68737,-79.4465,Oakwood Village (107),Associacco Migrante De Barcelos Centre (2016)
208 OAKWOOD AVE,0,1,1,0,0,0,0,1,0,1,0,0,0,2,0.33333,1,0.33333,0,43.68196,-79.4369,Oakwood Village (107),Fcj Refugee Centre (2013)
2189 DUFFERIN ST,0,1,1,1,1,1,0,1,0,0,0,0,1,2,0.33333,1,0.33333,0,43.690329999999996,-79.44771,Oakwood Village (107),Doce Minho Pastry And Bakery (2013)
228 OAKWOOD AVE,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.68249,-79.43713000000001,Oakwood Village (107),Welcome Groceries (2013)
2339 DUFFERIN ST,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.69477,-79.44949,Oakwood Village (107),St. Hildas (Long Term Care Facility) (2012)
243 ALBERTA AVE,1,1,1,1,1,0,1,0,0,0,0,1,1,2,0.33333,1,0.33333,0,43.68076,-79.43378,Oakwood Village (107),"Freddies No Frills (2012), Lucianos No Frills (2018)"
296 LAUDER AVE,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.68272,-79.44169000000001,Oakwood Village (107),Harmony House (2018)
317 OAKWOOD AVE,0,2,2,1,1,1,1,2,2,1,0,0,2,7,1.16667,2,0.58333,0,43.68544,-79.43779,Oakwood Village (107),"Lucky Sushi (2018), Monas Fine Foods (2013), Peters Variety Store (2013), Segs Restaurant Inc. (2014)"
319 OAKWOOD AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.68571,-79.4379,Oakwood Village (107),Monte Junto Bar And Grill (2012)
327 OAKWOOD AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.685959999999994,-79.43799,Oakwood Village (107),Neiva Sports Bar (2012)
330 OAKWOOD AVE,0,0,0,1,1,1,0,0,0,1,0,0,1,2,0.33333,1,0.33333,0,43.685990000000004,-79.43849,Oakwood Village (107),Gabriels Horn (2015)
336 OAKWOOD AVE,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0.16667,1,0.16667,0,43.68615,-79.43856,Oakwood Village (107),Paf And Dap Jerk Chicken (2012)
337 OAKWOOD AVE,1,1,1,1,1,1,0,0,2,0,2,0,1,5,0.8333299999999999,1,0.8333299999999999,0,43.68629,-79.43824000000001,Oakwood Village (107),"Goldstar Bakery (2012), Jacks Grill House (2014), The Oakwood Hardware Food And Drink (2016)"
340 OAKWOOD AVE,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0.16667,1,0.16667,0,43.68625,-79.4386,Oakwood Village (107),Yips Fruit And Flower Market (2013)
342 OAKWOOD AVE,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0.16667,1,0.16667,0,43.68646,-79.4387,Oakwood Village (107),Oakwood Espresso (2015)
345 OAKWOOD AVE,0,0,0,1,1,1,0,0,0,1,0,0,1,2,0.33333,1,0.33333,0,43.68665,-79.43823,Oakwood Village (107),Janes Oakwood Fruit And Flower Market (2015)
349 OAKWOOD AVE,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0.33333,1,0.33333,0,43.68674,-79.43825,Oakwood Village (107),Mastro Caffe (2016)
352 OAKWOOD AVE,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.686659999999996,-79.43876999999999,Oakwood Village (107),Jacks Bakery And Pastry (2012)
354 OAKWOOD AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.68677,-79.43883000000001,Oakwood Village (107),Dominos Pizza (2012)
359 OAKWOOD AVE,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.68717,-79.43838000000001,Oakwood Village (107),Oakwood Cafe (2012)
361 OAKWOOD AVE,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.68725,-79.43842,Oakwood Village (107),1 Plus 1 Pizza (2014)
367 OAKWOOD AVE,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.68748,-79.4386,Oakwood Village (107),Edmundo Snack Bar And Billiards (2014)
368 OAKWOOD AVE,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0.16667,1,0.16667,0,43.68727,-79.43901,Oakwood Village (107),The Edge (2012)
370 OAKWOOD AVE,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.0,1,0.0,0,43.687329999999996,-79.43908,Oakwood Village (107),Churrasqueira Costa Verde (2012)
371 OAKWOOD AVE,1,1,1,0,1,1,1,0,0,1,1,2,0,4,0.66667,1,0.66667,0,43.6876,-79.43869000000001,Oakwood Village (107),"Caribbean Avenue (2016), Carribean Queen Jerk Drum Express (2017), Wes Bes Patties (2012)"
373 OAKWOOD AVE,0,0,1,1,1,1,0,0,1,0,0,0,1,2,0.33333,1,0.33333,0,43.68777,-79.43878000000001,Oakwood Village (107),Galo Do Sardinha Churrasqueira (2014)
378 OAKWOOD AVE,1,1,1,0,1,1,0,0,0,1,1,0,1,3,0.5,1,0.5,0,43.6875,-79.43913,Oakwood Village (107),"Karu Sushi Restaurant (2016), Monami Sushi 153 (2012)"
380 OAKWOOD AVE,0,0,1,1,1,0,0,0,1,0,0,1,0,2,0.33333,1,0.33333,0,43.68757,-79.43916,Oakwood Village (107),Uhuru Bar (2014)
400 WINONA DR,0,0,1,1,1,0,0,0,1,0,0,1,0,2,0.33333,1,0.33333,0,43.686890000000005,-79.43485,Oakwood Village (107),Winona Market (2014)
434 OAKWOOD AVE,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0.16667,1,0.16667,0,43.68909,-79.43966999999999,Oakwood Village (107),Oakwood Pizzeria (2014)
