name,address,exist_2012,exist_2013,exist_2014,exist_2015,exist_2016,exist_2017,exist_2018,change_2013,change_2014,change_2015,change_2016,change_2017,change_2018
7 WEST CAFE,7 CHARLES ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
7 WONDERS FINE FOODS,250 FRONT ST W,0,1,1,1,1,1,1,1,0,0,0,0,0
70 DOWN,70 YORKVILLE AVE,0,0,0,0,1,0,0,0,0,0,1,1,0
700 CAFE,255 FRONT ST W,0,0,1,1,1,1,1,0,1,0,0,0,0
709 GREEK CAFE SHOP,709 DANFORTH AVE,0,0,0,0,1,1,1,0,0,0,1,0,0
71 BUBBLE TEA,71 KENSINGTON AVE,0,0,0,0,0,0,1,0,0,0,0,0,1
747 WINE BAR,747 QUEEN ST E,0,0,1,0,0,0,0,0,1,1,0,0,0
751,751 QUEEN ST W,0,1,1,0,0,0,0,1,0,1,0,0,0
77 FOOD MARKET,138 HALLAM ST,1,1,1,1,1,0,0,0,0,0,0,1,0
777 VARIETY,3095 BATHURST ST,0,0,1,1,1,1,0,0,1,0,0,0,1
786 HALAL BIRIYANI HOUSE,236 SHERBOURNE ST,1,1,0,0,0,0,0,0,1,0,0,0,0
786 JANNAT HALAL MEAT,234 MARKHAM RD,0,0,0,1,1,0,0,0,0,1,0,1,0
7TH SISTER BAKERY,53 RONCESVALLES AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
8 11 MILK STORE,3601 LAWRENCE AVE E,0,1,1,1,0,0,0,1,0,0,1,0,0
8 NOODLES/EIGHT NOODLES,3309 SHEPPARD AVE E,0,0,1,1,1,1,1,0,1,0,0,0,0
8 SUSHI,551 DANFORTH AVE,0,0,0,0,1,0,0,0,0,0,1,1,0
8 TO 11 MILK STORE,3601 LAWRENCE AVE E,0,0,0,0,1,0,0,0,0,0,1,1,0
8090 KTV,530 DUNDAS ST W,1,0,0,0,0,0,0,1,0,0,0,0,0
836 PAPE COFFEE SHOP,836 PAPE AVE,0,0,0,1,0,0,0,0,0,1,1,0,0
850 DEGREES,1566 BLOOR ST W,0,0,0,0,0,1,1,0,0,0,0,1,0
850 DEGREES,3455 LAKE SHORE BLVD W,0,0,1,1,1,1,1,0,1,0,0,0,0
86D BY MOTO,1321 DUNDAS ST W,0,0,0,0,1,1,1,0,0,0,1,0,0
876 JAMROCK RESTAURANT,6210 FINCH AVE W,0,0,0,0,0,0,1,0,0,0,0,0,1
88 RESTAURANT,270 SPADINA AVE,1,1,0,0,0,0,0,0,1,0,0,0,0
9 11 MILK STORE,3205 BATHURST ST,0,1,1,1,1,1,0,1,0,0,0,0,1
9 BARS,46 ST CLAIR AVE E,0,1,1,1,1,1,1,1,0,0,0,0,0
9 BEST FOOD,3700 MIDLAND AVE,0,0,0,0,1,0,0,0,0,0,1,1,0
9 STAR FOODS,1771 ALBION RD,1,1,1,1,1,0,0,0,0,0,0,1,0
90 SECONDS PIZZERIA,259 QUEEN ST W,0,0,0,1,0,0,0,0,0,1,1,0,0
900 LOUNGE,900 YORK MILLS RD,0,0,1,0,0,0,0,0,1,1,0,0,0
93 HARBORD,93 HARBORD ST,1,1,0,0,0,0,0,0,1,0,0,0,0
9333169 FOOD COURT,747 DON MILLS RD,0,0,0,1,1,1,0,0,0,1,0,0,1
977 CAFE,977 OCONNOR DR,1,1,1,1,1,1,1,0,0,0,0,0,0
98 AROMA,440 SPADINA AVE,0,0,0,0,1,1,1,0,0,0,1,0,0
989 HAWAII BAR,989 DOVERCOURT RD,0,0,0,0,0,1,0,0,0,0,0,1,1
99 CENT DEPOT,1058 WILSON AVE,1,0,0,0,0,0,0,1,0,0,0,0,0
99 CENT SUSHI,389 CHURCH ST,0,0,1,0,0,0,0,0,1,1,0,0,0
99 CENT ZONE,1476 QUEEN ST W,0,0,1,0,0,0,0,0,1,1,0,0,0
99 CENTS EXPRESS,1910 WESTON RD,0,1,1,1,1,0,0,1,0,0,0,1,0
99 CENTS VALUE PLUS,900 ALBION RD,1,1,1,0,0,0,0,0,0,1,0,0,0
99 SUSHI,170 EGLINTON AVE E,0,0,0,0,0,0,1,0,0,0,0,0,1
A + CONVENIENCE,2489 DUFFERIN ST,0,0,0,0,1,0,0,0,0,0,1,1,0
A + W,1277 YORK MILLS RD,0,0,0,0,0,1,1,0,0,0,0,1,0
A 1 BARGAIN AND DOLLAR STORE,2385 LAKE SHORE BLVD W,0,1,1,0,0,0,0,1,0,1,0,0,0
A 1 CONVENIENCE,265 DUNN AVE,1,1,1,1,1,1,0,0,0,0,0,0,1
A 1 DISCOUNT VARIETY,2412 LAKE SHORE BLVD W,0,1,1,1,1,1,1,1,0,0,0,0,0
A AND A AMART VARIETY AND GROCERY,67 LIVINGSTON RD,0,1,0,0,0,0,0,1,1,0,0,0,0
A AND A CHINESE FOOD,404 OLD WESTON RD,1,1,1,1,1,1,1,0,0,0,0,0,0
A AND A NEWS AND TOBACCO,670 COLLEGE ST,1,1,1,1,1,1,0,0,0,0,0,0,1
A AND B GAS MART,3930 LAWRENCE AVE E,1,0,0,0,0,0,0,1,0,0,0,0,0
A AND C HEALTH AND GIFTS CENTER,19 MILLIKEN BLVD,0,0,0,0,0,0,1,0,0,0,0,0,1
A AND D CONVENIENCE,5555 EGLINTON AVE W,1,1,1,1,1,1,1,0,0,0,0,0,0
A AND D CONVENIENCE PLUS,4379 KINGSTON RD,0,0,1,0,0,0,0,0,1,1,0,0,0
A AND E VARIETY STORE,1308 DANFORTH AVE,1,1,1,1,1,1,0,0,0,0,0,0,1
A AND H CONVENIENCE,70 PLUNKETT RD,0,1,1,1,1,1,0,1,0,0,0,0,1
A AND I SEAFOOD,705 MIDDLEFIELD RD,0,1,1,0,0,0,0,1,0,1,0,0,0
A AND L MINI MART,839 BLOOR ST W,1,1,1,1,1,1,0,0,0,0,0,0,1
A AND M LIFESTYLE VARIETY,1233 WESTON RD,1,1,1,1,1,0,0,0,0,0,0,1,0
A AND N TAKE OUT,1427 QUEEN ST W,1,1,1,1,1,1,1,0,0,0,0,0,0
A AND O INTERNATIONAL,70 BELFIELD RD,0,1,1,1,1,1,0,1,0,0,0,0,1
A AND P DISTRIBUTION CENTRE,170 THE WEST MALL,0,1,1,1,0,0,0,1,0,0,1,0,0
A AND P ENTERPRISE,98 ISLAND RD,0,0,0,1,0,0,0,0,0,1,1,0,0
A AND P WAREHOUSE,25 VICKERS RD,0,1,1,1,1,1,0,1,0,0,0,0,1
A AND PENTERPRISES,98 ISLAND RD,0,0,1,0,0,0,0,0,1,1,0,0,0
A AND T FRUIT MARKET,3375 BATHURST ST,0,0,1,1,1,1,0,0,1,0,0,0,1
A AND W,1 RICHMOND ST W,1,1,1,1,1,0,1,0,0,0,0,1,1
A AND W,1496 QUEEN ST W,0,0,0,0,0,1,1,0,0,0,0,1,0
A AND W,1585 WARDEN AVE,1,1,1,1,1,1,1,0,0,0,0,0,0
A AND W,1896 EGLINTON AVE E,1,1,1,1,1,1,1,0,0,0,0,0,0
